[200, 150, 3.0, 3.1]:: Return=0.1623, terminal=False
[200, 150, 0.7, 3.1]:: Return=1.0425, terminal=False
[200, 150, 3.0, 3.1]:: Return=0.0881, terminal=True
    27: E[0:01:28]-R[13:31:45]: Return=     5.257, Steps=  27, Features = 100
[200, 150, 2.4, 3.1]:: Return=0.0847, terminal=False
[200, 150, 0.5, 3.1]:: Return=-0.3507, terminal=False
[200, 150, 1.9, 3.1]:: Return=1.281, terminal=False
[200, 150, 0.5, 3.1]:: Return=-0.4024, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.3, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.0, 3.1]:: Return=0.0541, terminal=False
[200, 150, 1.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.5, 3.1]:: Return=0.3778, terminal=False
[200, 150, 1.8, 3.1]:: Return=0.5941, terminal=False
[200, 150, 2.5, 3.1]:: Return=1.5601, terminal=False
[200, 150, 1.6, 3.1]:: Return=0.6791, terminal=False
[200, 150, 0.5, 3.1]:: Return=1.3161, terminal=False
[200, 150, 1.9, 3.1]:: Return=1.3016, terminal=False
[200, 150, 2.9, 3.1]:: Return=1.2805, terminal=False
[200, 150, 1.0, 3.1]:: Return=0.4619, terminal=False
[200, 150, 1.2, 3.1]:: Return=0.4061, terminal=False
[200, 150, 2.6, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 0.9, 3.1]:: Return=0.0151, terminal=False
[200, 150, 3.0, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 1.6, 3.1]:: Return=-0.189, terminal=False
[200, 150, 2.5, 3.1]:: Return=0.0302, terminal=False
[200, 150, 0.7, 3.1]:: Return=-0.4025, terminal=False
[200, 150, 3.0, 3.1]:: Return=0.1399, terminal=False
[200, 150, 1.6, 3.1]:: Return=0.8469, terminal=False
[200, 150, 2.9, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 1.5, 3.1]:: Return=-0.0388, terminal=False
[200, 150, 1.2, 3.1]:: Return=1.1178, terminal=False
[200, 150, 3.0, 3.1]:: Return=0.1623, terminal=False
[200, 150, 0.7, 3.1]:: Return=1.0425, terminal=False
[200, 150, 1.4, 3.1]:: Return=0.1756, terminal=True
    58: E[0:02:46]-R[11:51:17]: Return=      10.3, Steps=  31, Features = 100
[200, 150, 2.8, 3.1]:: Return=0.0847, terminal=False
[200, 150, 1.8, 3.1]:: Return=1.1219, terminal=False
[200, 150, 2.5, 3.1]:: Return=1.0337, terminal=False
[200, 150, 1.3, 3.1]:: Return=0.1896, terminal=False
[200, 150, 0.7, 3.1]:: Return=0.3058, terminal=False
[200, 150, 1.6, 3.1]:: Return=0.0, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.6, 3.1]:: Return=0.0541, terminal=False
[200, 150, 1.4, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.6, 3.1]:: Return=0.092, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.5941, terminal=False
[200, 150, 1.3, 3.1]:: Return=1.0634, terminal=False
[200, 150, 1.0, 3.1]:: Return=0.2558, terminal=False
