 [6,] 189.9656 143.3152 0.669921 4.933817
 [7,] 189.9656 131.6652 0.736546 4.933817
 [8,] 189.9656 134.5777 0.669921 4.933817
 [9,] 189.9656 140.4027 0.669921 4.933817
[10,] 193.7031 134.5777 0.669921 4.152909
[11,] 189.9656 134.5777 0.669921 4.933817
[12,] 186.2281 134.5777 0.603296 4.385791

2008,2013
          [,1]     [,2]      [,3]     [,4]
 [1,] 187.7221 126.1247 0.7230516 4.654715
 [2,] 187.7221 126.1247 0.7230516 4.654715
 [3,] 195.1971 126.1247 0.7230516 4.654715
 [4,] 191.4596 126.1247 0.7230516 4.435490
 [5,] 187.7221 126.1247 0.7230516 4.654715
 [6,] 191.4596 129.0372 0.6564266 4.435490
 [7,] 183.9846 126.1247 0.7230516 4.727790
 [8,] 191.4596 126.1247 0.7896766 4.654715
 [9,] 187.7221 126.1247 0.7230516 4.727790
[10,] 187.7221 126.1247 0.7230516 4.654715
[11,] 187.7221 126.1247 0.7230516 4.654715
[12,] 187.7221 126.1247 0.7230516 4.654715

2008,2012
          [,1]     [,2]     [,3]     [,4]
 [1,] 197.8318 79.84055 1.480930 4.437014
 [2,] 197.8318 79.84055 1.480930 4.437014
 [3,] 197.8318 79.84055 1.480930 4.437014
 [4,] 197.8318 79.84055 1.547555 4.437014
 [5,] 194.0943 76.92805 1.480930 4.437014
 [6,] 201.5693 79.84055 1.480930 4.290864
 [7,] 197.8318 79.84055 1.480930 4.437014
 [8,] 201.5693 82.75305 1.480930 4.290864
 [9,] 194.0943 79.84055 1.480930 4.217789
[10,] 197.8318 79.84055 1.480930 4.290864
[11,] 197.8318 79.84055 1.480930 4.437014
[12,] 197.8318 79.84055 1.480930 4.437014

2008,2011
          [,1]      [,2]      [,3]     [,4]
 [1,] 182.9757 103.68178 0.7290774 4.647913
 [2,] 190.4507 103.68178 0.7290774 4.647913
 [3,] 190.4507 106.59428 0.7290774 4.647913
 [4,] 186.7132 100.76928 0.7957024 3.665197
 [5,] 190.4507  97.85678 0.7290774 4.647913
 [6,] 182.9757 103.68178 0.7290774 4.647913
 [7,] 186.7132 100.76928 0.7290774 4.647913
 [8,] 186.7132 103.68178 0.7957024 4.647913
 [9,] 190.4507 103.68178 0.8623274 4.940213
[10,] 190.4507 103.68178 0.7290774 4.867138
[11,] 182.9757 103.68178 0.7290774 3.592122
[12,] 190.4507 103.68178 0.7290774 4.647913

2008,2010
          [,1]     [,2]     [,3]     [,4]
 [1,] 172.8402 52.11309 1.317510 4.699498
 [2,] 172.8402 52.11309 1.184260 4.549711
 [3,] 172.8402 52.11309 1.317510 4.699498
 [4,] 172.8402 52.11309 1.317510 4.699498
 [5,] 169.1027 52.11309 1.184260 4.549711
 [6,] 172.8402 52.11309 1.250885 4.407198
 [7,] 172.8402 52.11309 1.184260 4.699498
 [8,] 172.8402 52.11309 1.384135 4.699498
 [9,] 172.8402 52.11309 1.184260 4.622786
[10,] 172.8402 55.02559 1.184260 4.407198
[11,] 172.8402 55.02559 1.184260 4.480273
[12,] 172.8402 52.11309 1.250885 4.549711

2009,2014
          [,1]     [,2]      [,3]     [,4]
 [1,] 183.6628 114.8440 0.7301534 4.739749
 [2,] 183.6628 139.7694 0.7301534 4.739749
 [3,] 183.6628 114.8440 0.7301534 4.739749
 [4,] 187.4003 111.9315 0.6635284 4.812824
 [5,] 183.6628 145.5944 0.7301534 4.739749
 [6,] 183.6628 114.8440 0.7301534 4.739749
